,URL
0,https://www.binance.com/zh-CN/nft/collection/bored-ape-yacht-club-505570382194139137?isBack=1
1,https://www.binance.com/zh-CN/nft/collection/mutant-ape-yacht-club-505303452945186817?isBack=1
2,https://www.binance.com/zh-CN/nft/collection/azuki-elementals-726319061462085633?isBack=1
3,https://www.binance.com/zh-CN/nft/collection/azuki-566536999900893185?isBack=1
4,https://www.binance.com/zh-CN/nft/collection/the-captainz-664106493958045697?isBack=1
5,https://www.binance.com/zh-CN/nft/collection/azuki-elemental-beans-726020668084563969?isBack=1
6,https://www.binance.com/zh-CN/nft/collection/degods-694369170047053825?isBack=1
7,https://www.binance.com/zh-CN/nft/collection/hvmtl-688529436169109505?isBack=1
8,https://www.binance.com/zh-CN/nft/collection/opepen-edition-668545431091167233?isBack=1
9,https://www.binance.com/zh-CN/nft/collection/nakamigos-690968054768242689?isBack=1
10,https://www.binance.com/zh-CN/nft/collection/you-the-real-mvp-673263989768339457?isBack=1
11,https://www.binance.com/zh-CN/nft/collection/mutant-hounds-666139648539058177?isBack=1
12,https://www.binance.com/zh-CN/nft/collection/beanz-official-641881145226350593?isBack=1
13,https://www.binance.com/zh-CN/nft/collection/emblem-vault-ethereum-657544888991608833?isBack=1
14,https://www.binance.com/zh-CN/nft/collection/otherdeed-expanded-696173597875834881?isBack=1
15,https://www.binance.com/zh-CN/nft/collection/moonbirds-569066442241241089?isBack=1
16,https://www.binance.com/zh-CN/nft/collection/otherdeed-for-otherside-641881071684722689?isBack=1
17,https://www.binance.com/zh-CN/nft/collection/clone-x--x-takashi-murakami-533652760429920257?isBack=1
18,https://www.binance.com/zh-CN/nft/collection/10ktf-kagami-673739544435376129?isBack=1
19,https://www.binance.com/zh-CN/nft/collection/cryptopunks-v1-wrapped-642015690732118017?isBack=1
20,https://www.binance.com/zh-CN/nft/collection/otherside-vessels-696169778363047937?isBack=1
21,https://www.binance.com/zh-CN/nft/collection/the-potatoz-627028585490763776?isBack=1
22,https://www.binance.com/zh-CN/nft/collection/mfers-619382785107288064?isBack=1
23,https://www.binance.com/zh-CN/nft/collection/cool-cats-nft-619803992157577216?isBack=1
24,https://www.binance.com/zh-CN/nft/collection/the-sandbox-688009096191889409?isBack=1
25,https://www.binance.com/zh-CN/nft/collection/0n1-force-642353810240229377?isBack=1
26,https://www.binance.com/zh-CN/nft/collection/checks--vv-edition-667186315421179905?isBack=1
27,https://www.binance.com/zh-CN/nft/collection/renga-640789951180509185?isBack=1
